year,population,population_age_0_to_14,population_age_15_64,population_age_65_and_above,broadband_subscriptions,cellular_subscriptions
1960,29532073363.00,11663089813.00,17585734030.00,1409318697.00,"",0.00
1961,29844004117.00,11882329644.00,17746695147.00,1441242390.00,"",""
1962,30229307049.00,12173690075.00,17974039931.00,1473262487.00,"",""
1963,30687904773.00,12516638143.00,18283045372.00,1506747068.00,"",""
1964,31150209681.00,12833480101.00,18625090233.00,1538686613.00,"",""
1965,31623213791.00,13119148003.00,19015743767.00,1570263294.00,"",0.00
1966,32105294057.00,13446893283.00,19380294511.00,1623279999.00,"",""
1967,32550397785.00,13724311443.00,19792682316.00,1675977495.00,"",""
1968,33001977890.00,13974661832.00,20246090727.00,1728541032.00,"",""
1969,33477405529.00,14229397282.00,20731969218.00,1781781821.00,"",""
1970,33957206740.00,14492230908.00,21222179580.00,1833979498.00,"",0.00
1971,34450005753.00,14789367111.00,21685809957.00,1898023167.00,"",""
1972,34937554290.00,15071352655.00,22112912452.00,1959647686.00,"",""
1973,35421126331.00,15340085760.00,22549232999.00,2019351806.00,"",""
1974,35908865204.00,15588008046.00,23006427698.00,2079052106.00,"",""
1975,36388385339.00,15803001117.00,23479754925.00,2138353390.00,"",0.00
1976,36859819695.00,16015850923.00,23933151225.00,2209799589.00,"",0.00
1977,37331325696.00,16197492440.00,24412233201.00,2281328419.00,"",0.00
1978,37811370496.00,16358817305.00,24923273319.00,2351393392.00,"",0.00
1979,38303232257.00,16510756464.00,25464802238.00,2416408834.00,"",0.00
1980,38800892198.00,16657525231.00,26027060580.00,2473852518.00,"",187856.00
1981,39311145161.00,16815125178.00,26595873069.00,2535165967.00,"",458428.00
1982,39840186954.00,16988147733.00,27190442808.00,2587836001.00,"",711250.00
1983,40374909029.00,17164185094.00,27764763505.00,2635302984.00,"",1029976.00
1984,40909705774.00,17335655111.00,28266519657.00,2683159885.00,"",2115796.00
1985,41455475625.00,17510211502.00,28771174605.00,2735861483.00,"",4808691.00
1986,42018163195.00,17752404882.00,29213968122.00,2803730449.00,"",9288361.00
1987,42595722578.00,17994591749.00,29641978451.00,2874369573.00,"",16255329.00
1988,43180824704.00,18234119729.00,30077070209.00,2947796246.00,"",27599038.00
1989,43765064240.00,18463637349.00,30516703991.00,3024351132.00,"",46695248.00
1990,44339129611.00,18686507916.00,30974017049.00,3105545457.00,"",71971054.00
1991,44893836577.00,18947470993.00,31355763415.00,3197532972.00,"",105746690.00
1992,45433213809.00,19145486150.00,31737890065.00,3293186699.00,"",152930436.00
1993,45964856298.00,19308381688.00,32142834860.00,3390423493.00,"",229007711.00
1994,46462347977.00,19458331421.00,32552878342.00,3484638673.00,"",379685071.00
1995,46962670683.00,19608508238.00,32968263738.00,3574110023.00,"",632311705.00
1996,47452744032.00,19695356605.00,33396810417.00,3679928625.00,"",1026801800.00
1997,47941712276.00,19816558441.00,33812544338.00,3776063427.00,"",1574794921.00
1998,48426593138.00,19939404618.00,34227552243.00,3866915934.00,1859688.00,2381681825.00
1999,48907650942.00,20018908897.00,34661071879.00,3958776982.00,7495267.00,3789038068.00
2000,49379948428.00,20040244671.00,35120736795.00,4054769103.00,79577411.00,5922823873.00
2001,49823156173.00,20098784785.00,35551344764.00,4161418719.00,226738029.00,8007668391.00
2002,50269566055.00,20096700384.00,36014593459.00,4271370302.00,435908667.00,10004651336.00
2003,50720693596.00,20060998319.00,36499733835.00,4381095677.00,723668598.00,12496962735.00
2004,51177306246.00,20038681970.00,36986609250.00,4483253913.00,1171512791.00,16062998267.00
2005,51638817998.00,20054723313.00,37463227781.00,4574947083.00,1671208226.00,20664699886.00
2006,52106438287.00,20110408353.00,37913457160.00,4678245045.00,2224558679.00,25821358702.00
2007,52564947809.00,20197960304.00,38356449260.00,4772746244.00,2839578590.00,31547974151.00
2008,53024533441.00,20313997615.00,38794034520.00,4864969940.00,3425373627.00,35931867688.00
2009,53479744358.00,20440205684.00,39225562595.00,4962327257.00,4012933919.00,39677472976.00
2010,53936376076.00,20566070779.00,39651754012.00,5069942977.00,4592725505.00,43679188061.00
2011,54386787847.00,20713528413.00,40047713542.00,5198411145.00,5244982377.00,47141888456.00
2012,54848718329.00,20858276730.00,40450863390.00,5336537415.00,5745203374.00,49393465603.00
2013,55322428754.00,21004607333.00,40857540096.00,5487335002.00,6168736436.00,51525053181.00
2014,55802752579.00,21153470442.00,41260030196.00,5655592786.00,6544684697.00,53276685843.00
2015,56286959090.00,21303730694.00,41654210972.00,5844381952.00,7715188328.00,54299481486.00
2016,56776741259.00,21463245445.00,42029450598.00,6066590500.00,8501862305.00,55237614544.00
2017,57266688323.00,21619021002.00,42398104111.00,6305689812.00,9692021860.00,55855107364.00
2018,57754186693.00,21765585052.00,42759153126.00,6554415666.00,10140721565.00,56629855388.00
2019,58242618592.00,21899909653.00,43115783561.00,6804389479.00,10786751848.00,57441618188.00
